scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
Business as usual - remind,SSA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,SSA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,SSA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,IND,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,IND,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,IND,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,JPN,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,JPN,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,JPN,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,OAS,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,OAS,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,OAS,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,MEA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,MEA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,MEA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,REF,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,REF,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,REF,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,USA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,USA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,USA,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,EUR,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Ambitious - remind,EUR,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Very Ambitious - remind,EUR,Efficiency|Hydrogen|Coal-CCS,-,0.51,0.51,0.51,0.51,0.51,0.51,0.51
Business as usual - remind,CHA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,CHA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,CHA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,LAM,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,LAM,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,LAM,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,CAZ,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,CAZ,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,CAZ,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,NEU,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,NEU,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,NEU,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,SSA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,SSA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,SSA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,IND,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,IND,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,IND,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,JPN,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,JPN,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,JPN,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,OAS,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,OAS,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,OAS,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,MEA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,MEA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,MEA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,REF,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,REF,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,REF,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,USA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,USA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,USA,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,EUR,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Ambitious - remind,EUR,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Very Ambitious - remind,EUR,Efficiency|Hydrogen|Grid|AE|Capacity Factor,-,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Business as usual - remind,CHA,Efficiency|Hydrogen|Grid|AE|Conversion Factor,-,0.67,0.67,0.68,0.7,0.72,0.73,0.75
